date,delay,distance,origin,destination
2001-01-04 09:02:00,-17,980,MSP,PHL
2001-01-04 09:31:00,-39,3784,DFW,HNL
2001-01-04 09:47:00,3,1195,IAH,SLC
2001-01-04 10:02:00,1,1038,PHL,MCI
2001-01-04 10:04:00,-5,1235,LAX,DFW
2001-01-04 10:55:00,12,223,BUR,LAS
2001-01-04 11:40:00,124,508,JFK,DTW
2001-01-04 12:06:00,5,418,SJC,SAN
2001-01-04 12:51:00,-24,603,HSV,DFW
2001-01-04 13:15:00,8,1117,IAH,PIT
2001-01-04 16:49:00,32,319,PIT,EWR
2001-01-04 17:12:00,-14,843,MHT,ORD
2001-01-04 17:50:00,4,516,ATL,ORF
2001-01-04 18:05:00,-7,308,LAX,SJC
2001-01-04 20:20:00,-2,786,STL,SAT
2001-01-04 20:58:00,-11,329,CLT,JAX
2001-01-05 05:55:00,1,190,SHV,DFW
2001-01-05 07:05:00,-8,2329,BWI,LAX
2001-01-05 07:30:00,-4,293,DAL,LBB
2001-01-05 08:29:00,12,1046,STL,BOS
2001-01-05 09:33:00,-4,1062,RDU,DFW
2001-01-05 10:41:00,8,262,SFO,SBA
2001-01-05 11:30:00,-7,256,PHX,LAS
2001-01-05 11:59:00,0,235,ORD,DTW
2001-01-05 12:36:00,-14,337,LAX,SFO
2001-01-05 15:04:00,5,437,DAL,MSY
2001-01-05 16:29:00,35,1926,SLC,PHL
2001-01-05 16:59:00,-10,862,DEN,LAX
2001-01-05 17:09:00,61,719,STL,DCA
2001-01-05 17:16:00,-17,337,LAX,SFO
2001-01-05 17:24:00,22,693,CID,DEN
2001-01-05 17:33:00,-5,929,DFW,TPA
2001-01-05 19:47:00,20,395,BNA,MDW
2001-01-05 20:41:00,9,418,SJC,SAN
2001-01-05 20:50:00,-2,377,BWI,MHT
2001-01-05 21:20:00,0,515,BWI,IND
2001-01-05 21:41:00,60,215,PIT,DAY
2001-01-05 21:41:00,8,240,ORD,DAY
2001-01-06 03:15:00,122,866,LAS,SEA
2001-01-06 07:54:00,9,821,JAX,EWR
2001-01-06 08:02:00,26,368,SLC,LAS
2001-01-06 08:06:00,30,140,LAW,DFW
2001-01-06 08:46:00,-1,1900,ONT,ATL
2001-01-06 09:08:00,7,508,GSP,DTW
2001-01-06 09:13:00,-5,937,MDW,HOU
2001-01-06 09:18:00,-5,1522,MSP,SNA
2001-01-06 09:21:00,10,2116,EWR,TUS
2001-01-06 09:39:00,-7,336,PHL,BTV
2001-01-06 11:41:00,-8,1811,EGE,MIA
2001-01-06 11:53:00,-10,416,ORD,OMA
2001-01-06 12:08:00,-10,802,ORD,DFW
2001-01-06 13:16:00,-9,957,MCO,DTW
2001-01-06 14:10:00,20,296,DAL,LIT
2001-01-06 14:35:00,0,237,MCI,STL
2001-01-06 16:02:00,-25,460,GSO,DTW
2001-01-06 16:19:00,-8,267,PIT,PHL
2001-01-06 17:02:00,16,1569,CVG,PHX
2001-01-06 17:12:00,10,677,ELP,HOU
2001-01-06 19:13:00,-8,70,CVG,LEX
2001-01-06 20:57:00,-11,185,BOS,LGA
2001-01-06 21:10:00,-12,834,PIT,MCO
2001-01-07 08:01:00,-15,678,ORD,PHL
2001-01-07 08:40:00,1,479,PDX,SMF
2001-01-07 09:17:00,-5,678,PHL,ORD
2001-01-07 09:22:00,-1,539,CVG,MCI
2001-01-07 10:50:00,-8,443,RDU,BNA
2001-01-07 11:00:00,-4,393,LIT,HOU
2001-01-07 11:23:00,7,325,OAK,BUR
2001-01-07 11:38:00,21,1830,SJC,ORD
2001-01-07 12:18:00,3,390,LAX,RNO
2001-01-07 12:39:00,-4,328,DFW,ICT
2001-01-07 13:41:00,-11,665,PHL,ATL
2001-01-07 17:15:00,0,189,DAL,AUS
2001-01-07 17:46:00,-2,412,PIT,ORD
2001-01-07 17:56:00,-9,526,ATL,PIT
2001-01-07 18:15:00,17,418,SJC,SAN
2001-01-07 18:34:00,-3,1262,PHX,STL
2001-01-07 18:45:00,12,602,PHX,DEN
2001-01-07 20:00:00,-3,236,LAX,LAS
2001-01-07 20:21:00,-15,2133,EWR,PHX
2001-01-07 21:34:00,-1,290,PHL,MHT
2001-01-07 23:57:00,-9,1589,SLC,ATL
2001-01-08 07:38:00,3,337,SFO,LAX
2001-01-08 07:38:00,0,719,EWR,ORD
2001-01-08 08:10:00,11,529,CLT,EWR
2001-01-08 08:40:00,11,762,MEM,DCA
2001-01-08 08:46:00,12,304,LIT,DFW
2001-01-08 09:40:00,-5,248,SAT,DAL
2001-01-08 09:40:00,-18,888,JAN,BWI
2001-01-08 11:57:00,-4,357,PVD,DCA
2001-01-08 13:38:00,21,308,LAX,SJC
2001-01-08 14:43:00,-7,432,OKC,MEM
2001-01-08 14:58:00,-18,334,MSP,ORD
2001-01-08 15:10:00,5,410,STL,CMH
2001-01-08 16:30:00,8,1072,MCO,MCI
2001-01-08 16:52:00,24,1124,MSP,BOS
2001-01-08 17:42:00,-12,1091,CLE,IAH
2001-01-08 17:49:00,11,247,SAT,DFW
2001-01-08 17:50:00,14,1400,EWR,IAH
2001-01-08 17:54:00,36,150,ORH,JFK
2001-01-08 18:39:00,99,196,BDL,PHL
2001-01-08 19:29:00,1,258,LAS,SAN
2001-01-08 20:10:00,-6,345,LAS,RNO
2001-01-08 20:41:00,-7,67,ORD,MKE
2001-01-09 05:58:00,1,256,LAS,PHX
2001-01-09 06:25:00,-11,402,HLN,SLC
2001-01-09 06:30:00,12,1723,SAN,ORD
2001-01-09 06:45:00,-5,178,FLL,MCO
2001-01-09 06:49:00,-13,190,SHV,DFW
2001-01-09 07:04:00,-42,2521,PHL,SFO
2001-01-09 07:39:00,-11,991,DEN,PDX
2001-01-09 07:51:00,21,328,PVD,BWI
2001-01-09 08:04:00,3,641,DFW,DEN
2001-01-09 08:12:00,-2,606,ATL,ORD
2001-01-09 08:49:00,55,733,ORD,LGA
2001-01-09 08:53:00,9,328,ABQ,PHX
2001-01-09 08:55:00,-21,335,LGA,PIT
2001-01-09 09:30:00,0,271,SDF,MDW
2001-01-09 12:32:00,-6,862,IAH,DEN
2001-01-09 12:36:00,-8,693,DEN,CID
2001-01-09 12:57:00,-7,1034,IAH,MSP
2001-01-09 13:30:00,-10,1589,ATL,SLC
2001-01-09 13:39:00,-3,569,ABQ,DFW
2001-01-09 14:18:00,30,461,LGA,GSO
2001-01-09 14:25:00,49,629,LAS,DEN
2001-01-09 15:04:00,-4,641,DEN,DFW
2001-01-09 15:57:00,5,325,PHX,ONT
2001-01-09 17:19:00,-9,191,IAH,SAT
2001-01-09 18:04:00,-5,1745,ORD,LAX
2001-01-09 18:35:00,-34,280,BOS,PHL
2001-01-09 19:12:00,-52,1739,ORD,PDX
2001-01-09 19:33:00,23,866,LAS,SEA
2001-01-09 19:38:00,-20,1830,ORD,SJC
2001-01-09 20:37:00,4,283,BDL,BWI
2001-01-09 21:25:00,-6,368,LAS,SLC
2001-01-09 21:26:00,88,601,SLC,TUS
2001-01-09 22:09:00,8,1045,SJU,MIA
2001-01-10 05:59:00,-13,185,BOS,LGA
2001-01-10 08:33:00,1,213,DCA,JFK
2001-01-10 08:42:00,-17,304,LIT,DFW
2001-01-10 09:51:00,24,1456,DFW,OAK
2001-01-10 10:03:00,-17,1723,ORD,SAN
2001-01-10 10:18:00,-10,642,ORD,RIC
2001-01-10 10:58:00,-6,138,BTR,JAN
2001-01-10 11:03:00,3,468,CLT,MCO
2001-01-10 11:26:00,23,813,AUS,ATL
2001-01-10 11:45:00,-3,105,RSW,MIA
2001-01-10 13:15:00,1,647,ORD,RDU
2001-01-10 13:30:00,20,214,DCA,LGA
2001-01-10 14:08:00,76,325,ONT,PHX
2001-01-10 15:01:00,-23,231,DTW,IND
2001-01-10 16:10:00,0,1050,MCO,BDL
2001-01-10 16:33:00,25,236,LAS,LAX
2001-01-10 20:32:00,-5,533,IAD,ATL
2001-01-10 21:13:00,65,460,MCI,DFW
2001-01-10 21:53:00,60,1069,CVG,DEN
2001-01-10 22:23:00,18,1542,PDX,ANC
2001-01-10 22:28:00,2,237,DFW,TUL
2001-01-10 23:02:00,-25,1825,LAS,CLE
2001-01-11 06:52:00,-1,373,SMF,LAX
2001-01-11 08:50:00,22,292,RIC,LGA
2001-01-11 08:54:00,91,1504,AUS,SFO
2001-01-11 09:15:00,-25,1090,JFK,MIA
2001-01-11 09:38:00,-2,328,PIT,RDU
2001-01-11 10:43:00,1,845,IAH,IND
2001-01-11 11:50:00,-4,296,DAL,LIT
2001-01-11 12:55:00,-6,2611,LAX,BOS
2001-01-11 13:05:00,77,406,TPA,ATL
2001-01-11 13:15:00,-7,936,CLT,DFW
2001-01-11 13:17:00,10,1188,ONT,DFW
2001-01-11 14:22:00,1,448,DFW,MSY
2001-01-11 14:47:00,-16,802,DFW,ORD
2001-01-11 15:09:00,5,1474,SJU,CLT
2001-01-11 16:16:00,-6,1417,JFK,IAH
2001-01-11 16:41:00,1,100,OGG,HNL
2001-01-11 17:55:00,-24,238,MKE,DTW
2001-01-11 18:07:00,33,1235,BWI,IAH
2001-01-11 19:25:00,-6,2556,LAX,HNL
2001-01-11 19:38:00,37,1117,IAH,PIT
2001-01-11 20:14:00,51,966,MCI,BWI
2001-01-11 21:16:00,52,337,SFO,LAX
2001-01-12 02:33:00,78,397,LAS,SMF
2001-01-12 08:06:00,-5,259,DSM,STL
2001-01-12 08:56:00,-30,399,BOS,DCA
2001-01-12 09:27:00,15,1547,SJU,ATL
2001-01-12 09:38:00,-5,802,MCO,CMH
2001-01-12 09:49:00,-9,977,IND,DEN
2001-01-12 10:55:00,1,501,LGA,DTW
2001-01-12 12:25:00,-6,237,TUL,DAL
2001-01-12 12:44:00,17,155,LAX,SBP
2001-01-12 12:52:00,90,647,PHX,SMF
2001-01-12 12:56:00,-2,214,LGA,DCA
2001-01-12 14:01:00,2,137,GRR,ORD
2001-01-12 14:24:00,30,421,SFO,PSP
2001-01-12 14:39:00,-6,661,CVG,BDL
2001-01-12 14:53:00,-21,610,DTW,MEM
2001-01-12 15:00:00,0,261,FAI,ANC
2001-01-12 16:36:00,5,73,COS,DEN
2001-01-12 16:45:00,0,296,ORD,CMH
2001-01-12 17:06:00,-17,980,MSP,PHL
2001-01-12 17:21:00,-3,116,CMH,CVG
2001-01-12 17:35:00,5,1347,IAH,SNA
2001-01-12 18:06:00,2,2369,PHL,SAN
2001-01-12 18:37:00,-22,4130,HNL,STL
2001-01-12 19:07:00,-5,145,BOS,ALB
2001-01-12 19:23:00,-27,1046,BOS,STL
2001-01-12 19:51:00,217,397,LAS,SMF
2001-01-12 21:29:00,126,175,OKC,DFW
2001-01-12 21:30:00,10,197,FLL,TPA
2001-01-12 21:45:00,8,303,MSY,HOU
2001-01-12 22:58:00,46,370,LAX,PHX
2001-01-13 06:43:00,15,67,MKE,ORD
2001-01-13 07:40:00,-8,920,TPA,PHL
2001-01-13 07:50:00,0,1428,MSY,SLC
2001-01-13 08:27:00,-7,1046,STL,BOS
2001-01-13 08:33:00,-1,556,MEM,MKE
2001-01-13 09:12:00,-14,719,EWR,ORD
2001-01-13 10:00:00,-4,200,EWR,BOS
2001-01-13 11:01:00,-12,390,SLC,DEN
2001-01-13 11:35:00,6,874,ATL,SAT
2001-01-13 12:35:00,-1,1205,DFW,SNA
2001-01-13 14:18:00,-28,2125,LAX,CLT
2001-01-13 14:29:00,-2,447,SAN,SFO
2001-01-13 14:32:00,0,719,EWR,ORD
2001-01-13 15:10:00,9,337,LAX,OAK
2001-01-13 16:35:00,-13,296,LIT,STL
2001-01-13 16:56:00,-40,1589,MSP,SFO
2001-01-13 18:47:00,8,426,RDU,JFK
2001-01-13 19:25:00,-34,1035,PBI,LGA
2001-01-13 21:35:00,-7,270,JAX,ATL
2001-01-13 23:42:00,4,181,OAK,RNO
2001-01-13 23:57:00,-23,2419,SFO,IAD
2001-01-14 06:01:00,-18,980,PHL,MSP
2001-01-14 08:32:00,-1,334,ORD,MSP
2001-01-14 09:45:00,-22,1091,IAH,CLE
2001-01-14 10:32:00,-14,522,XNA,ORD
2001-01-14 11:12:00,1,211,BHM,JAN
2001-01-14 11:29:00,-3,1678,LAS,CVG
2001-01-14 12:05:00,-45,431,LGA,RDU
2001-01-14 12:06:00,-3,639,DEN,TUS
2001-01-14 15:23:00,39,631,DFW,BNA
2001-01-14 15:45:00,-10,1009,PDX,PHX
2001-01-14 16:06:00,-6,925,BWI,FLL
2001-01-14 17:08:00,-19,89,ACT,DFW
2001-01-14 17:23:00,69,270,LGA,PWM
2001-01-14 17:54:00,-6,534,RDU,MCO
2001-01-14 18:03:00,52,296,ORF,LGA
2001-01-14 18:12:00,-7,819,DEN,ONT
2001-01-14 18:40:00,16,110,PHX,TUS
2001-01-14 19:03:00,-3,651,SFO,PHX
2001-01-15 07:40:00,-18,186,PIT,BUF
2001-01-15 08:22:00,7,187,MLI,STL
2001-01-15 11:56:00,-13,545,ATL,PBI
2001-01-15 12:14:00,31,208,PIT,ELM
2001-01-15 13:00:00,-2,345,RNO,LAS
2001-01-15 13:11:00,56,425,ATL,MSY
2001-01-15 13:20:00,9,533,MCI,DEN
2001-01-15 13:32:00,-7,680,MSP,DEN
2001-01-15 15:24:00,-16,403,MEM,CVG
2001-01-15 16:20:00,0,197,TPA,FLL
2001-01-15 16:50:00,4,441,HOU,MAF
2001-01-15 18:10:00,3,108,PVD,ISP
2001-01-15 18:42:00,-2,2475,JFK,LAX
2001-01-15 18:50:00,-13,422,SLC,RNO
2001-01-15 19:18:00,96,181,BOS,BTV
2001-01-15 19:35:00,-5,248,SAT,DAL
2001-01-15 21:07:00,128,144,JFK,PVD
2001-01-16 05:56:00,-2,783,ORD,BDL
2001-01-16 06:04:00,9,1172,IAD,DFW
2001-01-16 06:23:00,-9,1235,LAX,DFW
2001-01-16 09:58:00,-12,1557,PHL,DEN
2001-01-16 10:11:00,-5,576,ATL,BWI
2001-01-16 10:59:00,-18,364,DFW,SGF
2001-01-16 11:18:00,31,345,LAS,RNO
2001-01-16 11:54:00,-9,590,SLC,LAX
2001-01-16 13:39:00,-5,151,ATL,HSV
2001-01-16 13:55:00,2,332,ABQ,MAF
2001-01-16 14:04:00,-12,1005,TPA,JFK
2001-01-16 16:41:00,9,925,ORD,IAH
2001-01-16 17:10:00,-5,543,OAK,PDX
2001-01-16 17:48:00,3,714,SWF,ORD
2001-01-16 18:59:00,24,595,MIA,ATL
2001-01-16 19:07:00,29,111,TUL,OKC
2001-01-16 20:04:00,-22,2248,JFK,LAS
2001-01-16 22:42:00,46,1449,SEA,ANC
2001-01-17 05:53:00,-5,834,MCO,PIT
2001-01-17 06:23:00,2,1372,LAS,STL
2001-01-17 06:41:00,-9,998,EWR,TPA
2001-01-17 07:20:00,-2,446,OAK,SAN
2001-01-17 07:28:00,-16,696,STL,IAD
2001-01-17 08:00:00,4,405,MDW,MCI
2001-01-17 09:21:00,10,991,DEN,PDX
2001-01-17 09:57:00,-11,214,DCA,LGA
2001-01-17 10:44:00,-9,228,CID,STL
2001-01-17 12:12:00,28,2475,JFK,LAX
2001-01-17 12:18:00,-17,919,MCI,SLC
2001-01-17 13:29:00,6,185,BOS,LGA
2001-01-17 14:45:00,-7,109,MSN,ORD
2001-01-17 16:49:00,-9,663,JAX,BWI
2001-01-17 17:55:00,0,236,LAX,LAS
2001-01-17 18:46:00,-2,405,STL,TYS
2001-01-17 19:50:00,-9,935,TUL,PHX
2001-01-17 20:00:00,10,370,LAX,PHX
2001-01-17 20:45:00,4,67,ORD,MKE
2001-01-17 21:30:00,0,495,BWI,SDF
2001-01-17 23:25:00,-5,1846,SFO,ORD
2001-01-18 00:44:00,0,1464,SFO,DFW
2001-01-18 01:46:00,22,1300,LAS,MSP
2001-01-18 06:13:00,3,100,OGG,HNL
2001-01-18 06:26:00,-1,667,RDU,STL
2001-01-18 07:02:00,-19,2565,EWR,SFO
2001-01-18 07:05:00,10,1140,LAS,MCI
2001-01-18 07:21:00,-6,410,STL,CMH
2001-01-18 07:40:00,-2,209,EWR,MHT
2001-01-18 10:16:00,-7,758,MCO,IAD
2001-01-18 12:41:00,-7,334,ORD,MSP
2001-01-18 13:34:00,-9,550,SFO,PDX
2001-01-18 14:15:00,8,667,STL,RDU
2001-01-18 15:01:00,4,733,ORD,LGA
2001-01-18 15:15:00,18,296,LIT,DAL
2001-01-18 16:18:00,9,1211,LAX,SAT
2001-01-18 17:33:00,-9,2217,MCO,LAX
2001-01-18 17:45:00,-1,928,AUS,TPA
2001-01-18 19:07:00,-3,116,CMH,CVG
2001-01-19 06:30:00,20,156,MYR,CLT
2001-01-19 06:41:00,4,319,EWR,PIT
2001-01-19 06:57:00,11,1205,SNA,DFW
2001-01-19 07:03:00,9,576,BWI,ATL
2001-01-19 07:23:00,-6,938,MCO,EWR
2001-01-19 08:08:00,-22,1464,DFW,SFO
2001-01-19 08:15:00,3,162,MDW,IND
2001-01-19 11:01:00,-4,2486,LAX,OGG
2001-01-19 11:06:00,-19,1989,SLC,JFK
2001-01-19 11:42:00,-16,235,ORD,DTW
2001-01-19 12:30:00,-11,405,DCA,DTW
2001-01-19 12:59:00,4,387,SJC,LAS
2001-01-19 15:35:00,-15,888,ORD,DEN
2001-01-19 15:57:00,51,843,PHX,SAT
2001-01-19 16:54:00,-3,1619,LGA,DEN
2001-01-19 17:15:00,52,365,PHL,PWM
2001-01-19 17:40:00,-14,585,TUL,ORD
2001-01-19 17:46:00,51,264,CVG,ORD
2001-01-19 18:10:00,0,447,SFO,SAN
2001-01-19 18:45:00,85,749,ROC,ATL
2001-01-19 20:11:00,7,160,EWR,PVD
2001-01-20 06:01:00,-6,140,GGG,DFW
2001-01-20 06:30:00,0,451,TUS,LAX
2001-01-20 07:00:00,-1,732,ATL,DFW
2001-01-20 07:56:00,-23,214,DCA,LGA
2001-01-20 07:57:00,-10,1103,PBI,DFW
2001-01-20 08:12:00,5,153,GSP,ATL
2001-01-20 08:43:00,-5,813,TUS,DFW
2001-01-20 08:48:00,-9,473,ORD,BUF
2001-01-20 09:03:00,-22,920,MIA,DCA
2001-01-20 09:28:00,-47,1145,MIA,DTW
2001-01-20 09:41:00,4,783,BDL,ORD
2001-01-20 10:05:00,-5,197,ONT,LAS
2001-01-20 10:13:00,5,1199,DEN,ATL
2001-01-20 13:13:00,28,529,CLT,EWR
2001-01-20 13:32:00,-22,991,SLC,MSP
2001-01-20 15:53:00,4,692,ATL,MCI
2001-01-20 16:25:00,49,116,ORD,BMI
2001-01-20 16:50:00,-1,197,TPA,FLL
2001-01-20 17:37:00,-32,2611,BOS,LAX
2001-01-20 17:56:00,33,240,DAY,ORD
2001-01-20 18:04:00,-5,1199,DEN,ATL
2001-01-20 19:05:00,-4,611,BWI,MDW
2001-01-20 20:29:00,-3,723,ORD,ALB
2001-01-20 20:54:00,-9,227,CLT,ATL
2001-01-20 20:58:00,-8,631,CLT,FLL
2001-01-20 23:44:00,9,1772,LAS,CMH
2001-01-21 06:53:00,-21,957,DTW,MCO
2001-01-21 08:17:00,-9,720,EGE,DFW
2001-01-21 08:30:00,-25,337,LAX,SFO
2001-01-21 08:52:00,-8,532,SLC,SMF
2001-01-21 09:39:00,1,647,RDU,ORD
2001-01-21 12:15:00,65,1046,BOS,STL
2001-01-21 13:00:00,-7,217,DAL,IAH
2001-01-21 13:31:00,-11,2399,HNL,SFO
2001-01-21 13:52:00,11,362,ONT,OAK
2001-01-21 14:24:00,-2,1910,LAS,PIT
2001-01-21 15:17:00,-12,622,PHX,SJC
2001-01-21 15:20:00,3,843,SAT,PHX
2001-01-21 15:35:00,-6,198,RIC,PHL
2001-01-21 16:07:00,-4,2072,SJU,ORD
2001-01-21 16:58:00,64,1597,IAH,BOS
2001-01-21 18:25:00,-15,556,MKE,MEM
2001-01-21 19:52:00,-11,1498,ORD,GEG
2001-01-21 20:46:00,9,305,IAH,MSY
2001-01-21 21:59:00,-16,1222,IAH,LAS
2001-01-22 05:54:00,-24,548,BDL,DTW
2001-01-22 06:23:00,18,1090,JFK,MIA
2001-01-22 06:55:00,0,187,CRP,HOU
2001-01-22 07:22:00,-14,1192,DCA,DFW
2001-01-22 08:06:00,14,2401,EWR,SEA
2001-01-22 08:48:00,26,1674,BOS,SJU
2001-01-22 09:19:00,-7,1865,CVG,SAN
2001-01-22 09:57:00,-8,214,DCA,LGA
2001-01-22 10:44:00,127,140,GGG,DFW
2001-01-22 11:07:00,-5,430,CVG,BWI
2001-01-22 11:37:00,-16,1372,LAS,STL
2001-01-22 11:57:00,-15,214,LGA,DCA
2001-01-22 12:05:00,-3,813,TUS,DFW
2001-01-22 12:51:00,-1,110,TUS,PHX
2001-01-22 13:15:00,-13,621,BWI,ORD
2001-01-22 13:38:00,-7,1634,STT,EWR
2001-01-22 13:57:00,-17,334,MSP,ORD
2001-01-22 14:42:00,-10,1562,BOS,DFW
2001-01-22 14:48:00,-17,689,SLC,SEA
2001-01-22 16:50:00,-13,590,LAX,SLC
2001-01-22 17:20:00,-12,696,SEA,SJC
2001-01-22 17:32:00,3,370,DTW,MDT
2001-01-22 19:47:00,-8,334,ORD,MSP
2001-01-22 19:53:00,-13,199,EWR,DCA
2001-01-22 20:35:00,-10,646,OAK,PHX
2001-01-22 20:53:00,-5,1024,PBI,EWR
2001-01-22 21:26:00,18,258,SAN,LAS
2001-01-22 21:26:00,-14,273,ORD,EVV
2001-01-23 05:30:00,-6,370,LAX,PHX
2001-01-23 06:15:00,-6,696,IAD,STL
2001-01-23 07:07:00,-1,929,TPA,DFW
2001-01-23 07:26:00,-15,641,DFW,DEN
2001-01-23 07:30:00,14,373,CVG,ATL
2001-01-23 09:15:00,10,872,AUS,PHX
2001-01-23 09:40:00,-5,325,OAK,BUR
2001-01-23 09:56:00,-10,191,CAE,ATL
2001-01-23 11:07:00,47,135,ORD,CMI
2001-01-23 12:58:00,-13,526,PIT,ATL
2001-01-23 13:46:00,-14,678,ORD,PHL
2001-01-23 13:55:00,-3,332,ABQ,MAF
2001-01-23 15:01:00,-18,1557,DEN,PHL
2001-01-23 16:48:00,-14,473,ORD,BUF
2001-01-23 16:55:00,-3,197,FLL,TPA
2001-01-23 17:35:00,-9,867,BOS,ORD
2001-01-23 17:38:00,129,550,PDX,SFO
2001-01-23 19:52:00,-9,110,TUS,PHX
2001-01-23 19:58:00,-11,228,PHL,SYR
2001-01-23 20:28:00,6,1347,IAH,SNA
2001-01-23 21:23:00,15,337,LAX,SFO
2001-01-24 01:02:00,-14,1055,LAS,DFW
2001-01-24 06:00:00,-2,237,MCI,STL
2001-01-24 06:20:00,2,719,DCA,STL
2001-01-24 06:51:00,-7,468,MCO,CLT
2001-01-24 06:51:00,11,345,HPN,PIT
2001-01-24 07:22:00,-17,1090,MIA,JFK
2001-01-24 07:38:00,-3,229,IND,STL
2001-01-24 07:51:00,-7,495,OKC,DEN
2001-01-24 08:00:00,-13,588,ICT,ORD
2001-01-24 08:15:00,1,67,MKE,ORD
2001-01-24 09:05:00,24,1548,TUS,CVG
2001-01-24 10:14:00,16,109,MSN,ORD
2001-01-24 11:23:00,-7,528,MSP,DTW
2001-01-24 11:36:00,-2,256,LAS,PHX
2001-01-24 12:45:00,8,110,PSP,LAX
2001-01-24 14:35:00,-7,254,STL,SDF
2001-01-24 15:40:00,-19,1635,IAH,SFO
2001-01-24 16:25:00,5,423,MDW,OMA
2001-01-24 16:43:00,5,933,SAN,PDX
2001-01-24 17:20:00,-5,321,ATL,SDF
2001-01-24 17:38:00,-1,129,SEA,PDX
2001-01-24 18:55:00,3,562,DAL,ELP
2001-01-24 19:23:00,24,632,DTW,BOS
2001-01-24 19:49:00,-10,453,ATL,LIT
2001-01-24 20:54:00,9,130,CLT,RDU
