flight_date,origin_state,phase_of_flight,wildlife_size,wildlife_species,time_of_day,cost_other,cost_repair,cost_total,speed_ias_in_knots
1990-05-08,California,Take-off run,Small,American robin,Day,0,0,0,135.0
1990-05-10,California,Approach,Medium,Unknown bird - medium,Day,0,0,0,135.0
1990-05-10,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,220.0
1990-05-11,Illinois,Climb,Medium,Unknown bird - medium,Night,0,0,0,250.0
1990-05-13,Tennessee,Approach,Small,Unknown bird - small,Day,0,0,0,140.0
1990-05-13,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,160.0
1990-05-13,Tennessee,Climb,Small,European starling,Day,0,0,0,160.0
1990-05-13,Minnesota,Landing Roll,Small,American robin,Day,0,0,0,100.0
1990-05-14,Oregon,Descent,Medium,Unknown bird - medium,Night,0,0,0,200.0
1990-05-14,Missouri,Approach,Small,Unknown bird - small,Night,0,0,0,140.0
1990-05-15,Illinois,Take-off run,Large,Coyote,Day,0,0,0,150.0
1990-05-15,Illinois,Climb,Medium,Unknown bird - medium,Day,0,0,0,120.0
1990-05-15,Texas,Landing Roll,Medium,American crow,Day,0,0,0,135.0
1990-05-15,Utah,Landing Roll,Small,Common nighthawk,Day,0,0,0,150.0
1990-05-16,Hawaii,Landing Roll,Large,Unknown bird - large,Day,0,0,0,70.0
1990-05-16,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,140.0
1990-05-18,Texas,Approach,Small,American robin,Night,0,0,0,122.0
1990-05-19,Missouri,Approach,Small,Unknown bird - small,Night,0,0,0,140.0
1990-05-20,DC,Approach,Small,Unknown bird - small,Night,0,0,0,120.0
1990-05-22,California,Approach,Small,Unknown bird - small,Night,0,0,0,140.0
1990-05-22,Illinois,Approach,Small,Unknown bird - small,Night,0,0,0,140.0
1990-05-23,California,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,150.0
1990-05-24,South Carolina,Approach,Medium,Unknown bird or bat,Day,0,0,0,250.0
1990-05-24,Texas,Approach,Small,Unknown bird - small,Night,0,0,0,250.0
1990-05-26,Missouri,Descent,Medium,Unknown bird - medium,Day,0,0,0,160.0
1990-05-26,Texas,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,140.0
1990-05-26,Ohio,Climb,Medium,Unknown bird - medium,Night,0,0,0,180.0
1990-05-26,Tennessee,Approach,Small,Unknown bird - small,Day,0,0,0,170.0
1990-05-27,California,Approach,Medium,Mallard,Day,0,0,0,140.0
1990-05-27,Kentucky,Climb,Medium,Unknown bird - medium,Night,0,0,0,180.0
1990-05-27,Texas,Approach,Small,American robin,Day,0,0,0,170.0
1990-05-29,Kentucky,Approach,Medium,Unknown bird - medium,Night,0,0,0,130.0
1990-05-29,Louisiana,Take-off run,Medium,Unknown bird or bat,Night,0,0,0,130.0
1990-05-29,Louisiana,Take-off run,Medium,Unknown bird or bat,Night,0,0,0,135.0
1990-05-29,Illinois,Climb,Small,European starling,Day,0,0,0,160.0
1990-05-30,Louisiana,Approach,Small,Unknown bird - small,Day,0,0,0,130.0
1990-05-30,Missouri,Landing Roll,Small,European starling,Day,0,0,0,140.0
1990-05-31,Missouri,Approach,Small,Unknown bird - small,Day,0,0,0,135.0
1990-05-31,Kentucky,Take-off run,Small,Unknown bird - small,Day,0,0,0,120.0
1990-06-01,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,146.0
1990-06-01,Texas,Landing Roll,Small,European starling,Day,0,0,0,120.0
1990-06-04,Texas,Descent,Small,Unknown bird - small,Night,0,0,0,210.0
1990-06-05,Oklahoma,Climb,Small,Rock pigeon,Day,0,0,0,180.0
1990-06-06,Missouri,Approach,Small,Unknown bird - small,Night,0,0,0,210.0
1990-06-07,Pennsylvania,Landing Roll,Medium,Unknown bird or bat,Day,0,0,0,120.0
1990-06-07,Louisiana,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,200.0
1990-06-07,Illinois,Approach,Small,Unknown bird - small,Day,0,0,0,210.0
1990-06-08,California,Approach,Small,Unknown bird - small,Day,0,0,0,135.0
1990-06-09,Tennessee,Approach,Small,Unknown bird - small,Day,0,0,0,136.0
1990-06-09,Maryland,Take-off run,Small,Unknown bird - small,Day,0,0,0,130.0
1990-06-11,Pennsylvania,Landing Roll,Small,Unknown bird - small,Day,0,0,0,140.0
1990-06-12,Louisiana,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,150.0
1990-06-12,Oklahoma,Approach,Small,Mourning dove,Day,0,0,0,135.0
1990-06-14,Texas,Approach,Medium,Unknown bird - medium,Night,0,0,0,250.0
1990-06-14,Kentucky,Landing Roll,Small,American robin,Day,0,0,0,120.0
1990-06-14,Tennessee,Landing Roll,Small,American robin,Dusk,0,0,0,85.0
1990-06-17,Oklahoma,Climb,Medium,Unknown bird - medium,Night,0,0,0,180.0
1990-06-18,Massachusetts,Approach,Medium,Herring gull,Dawn,48704,0,48704,130.0
1990-06-19,Louisiana,Take-off run,Medium,Unknown bird or bat,Night,0,0,0,130.0
1990-06-19,Pennsylvania,Approach,Small,Unknown bird - small,Day,0,0,0,130.0
1990-06-20,California,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,140.0
1990-06-21,Florida,Approach,Medium,Unknown bird - medium,Day,0,0,0,140.0
1990-06-22,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,150.0
1990-06-23,Texas,Approach,Medium,Unknown bird - medium,Day,0,0,0,250.0
1990-06-23,Ohio,Landing Roll,Medium,American crow,Day,0,0,0,110.0
1990-06-23,Ohio,Landing Roll,Medium,American crow,Day,0,0,0,100.0
1990-06-23,California,Take-off run,Medium,Unknown bird - medium,Dusk,0,0,0,110.0
1990-06-23,Ohio,Climb,Small,Unknown bird - small,Day,0,0,0,140.0
1990-06-26,Louisiana,Climb,Medium,Unknown bird or bat,Night,0,0,0,160.0
1990-06-26,Nebraska,Approach,Small,Unknown bird - small,Day,0,0,0,140.0
1990-06-27,New Jersey,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,40.0
1990-06-28,Illinois,Approach,Small,Unknown bird - small,Day,0,0,0,130.0
1990-06-28,Texas,Approach,Small,Unknown bird - small,Night,0,0,0,250.0
1990-06-30,Illinois,Landing Roll,Small,Unknown bird - small,Day,0,0,0,145.0
1990-07-01,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,140.0
1990-07-03,Hawaii,Approach,Medium,Unknown bird - medium,Night,0,0,0,137.0
1990-07-03,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,140.0
1990-07-05,North Carolina,Approach,Small,Unknown bird - small,Day,0,0,0,125.0
1990-07-06,South Carolina,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,100.0
1990-07-06,California,Approach,Small,Unknown bird - small,Day,0,0,0,125.0
1990-07-07,Kentucky,Take-off run,Small,Unknown bird - small,Day,0,0,0,140.0
1990-07-08,California,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,140.0
1990-07-08,Utah,Approach,Medium,Unknown bird - medium,Day,0,0,0,140.0
1990-07-08,North Carolina,Approach,Small,Unknown bird - small,Day,0,0,0,134.0
1990-07-08,Illinois,Climb,Small,Unknown bird - small,Day,0,0,0,210.0
1990-07-09,Washington,Climb,Medium,Unknown bird - medium,Day,0,0,0,200.0
1990-07-10,Georgia,Approach,Medium,Unknown bird - medium,Day,0,0,0,140.0
1990-07-10,Tennessee,Approach,Small,Unknown bird - small,Night,0,0,0,130.0
1990-07-11,Utah,Descent,Large,Unknown bird - large,Day,0,0,0,350.0
1990-07-11,Georgia,Landing Roll,Small,European starling,Dawn,0,0,0,130.0
1990-07-11,California,Approach,Small,Unknown bird - small,Day,0,0,0,140.0
1990-07-12,Ohio,Approach,Small,American robin,Day,0,0,0,130.0
1990-07-13,Hawaii,Take-off run,Small,Short-eared owl,Dawn,0,0,0,85.0
1990-07-13,California,Landing Roll,Small,American kestrel,Day,0,0,0,125.0
1990-07-15,Pennsylvania,Approach,Medium,Unknown bird - medium,Night,0,0,0,160.0
1990-07-15,Tennessee,Landing Roll,Small,Unknown bird - small,Dusk,0,0,0,120.0
1990-07-16,California,Climb,Large,Canada goose,Dusk,0,0,0,130.0
1990-07-16,Missouri,Approach,Small,Unknown bird - small,Day,0,0,0,140.0
1990-07-16,New Jersey,Climb,Small,Laughing gull,Day,0,0,0,120.0
1990-07-17,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,130.0
1990-07-17,New Jersey,Take-off run,Small,Laughing gull,Day,0,0,0,140.0
1990-07-19,Pennsylvania,Take-off run,Small,Unknown bird - small,Day,0,0,0,125.0
1990-07-20,Georgia,Climb,Medium,Unknown bird - medium,Day,0,0,0,190.0
1990-07-21,New Jersey,Landing Roll,Large,Unknown bird - large,Day,0,0,0,140.0
1990-07-22,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,140.0
1990-07-23,Missouri,Landing Roll,Medium,Unknown bird - medium,Night,0,0,0,120.0
1990-07-23,New Jersey,Take-off run,Medium,Unknown bird - medium,Night,0,0,0,140.0
1990-07-23,Ohio,Climb,Small,Unknown bird - small,Day,0,0,0,140.0
1990-07-24,Missouri,Climb,Small,Unknown bird - small,Day,0,0,0,220.0
1990-07-25,Kentucky,Approach,Small,Unknown bird - small,Day,0,0,0,120.0
1990-07-26,Illinois,Approach,Medium,Unknown bird - medium,Day,0,0,0,135.0
1990-07-26,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,130.0
1990-07-28,Texas,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,120.0
1990-07-29,California,Approach,Medium,Unknown bird - medium,Day,0,0,0,100.0
1990-07-29,New Jersey,Climb,Small,Laughing gull,Day,0,0,0,140.0
1990-07-29,Texas,Climb,Small,Unknown bird - small,Day,0,0,0,250.0
1990-07-30,Pennsylvania,Approach,Large,Canada goose,Day,0,0,0,130.0
1990-07-30,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,128.0
1990-07-31,Texas,Climb,Small,Unknown bird - small,Day,0,0,0,120.0
1990-08-01,Illinois,Approach,Small,Rock pigeon,Day,0,0,0,125.0
1990-08-01,Pennsylvania,Approach,Small,Unknown bird - small,Night,0,0,0,170.0
1990-08-02,New York,Approach,Medium,Herring gull,Day,0,0,0,140.0
1990-08-02,Texas,Take-off run,Small,Unknown bird - small,Day,0,0,0,110.0
1990-08-03,Texas,Approach,Medium,Unknown bird - medium,Day,0,0,0,210.0
1990-08-04,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,165.0
1990-08-04,Illinois,Climb,Medium,Unknown bird - medium,Night,0,0,0,250.0
1990-08-05,Tennessee,Approach,Small,Unknown bird - small,Day,0,0,0,132.0
1990-08-05,Maryland,Landing Roll,Small,Unknown bird - small,Day,0,0,0,80.0
1990-08-05,Tennessee,Landing Roll,Small,Unknown bird - small,Day,0,0,0,130.0
1990-08-06,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,165.0
1990-08-06,Texas,Landing Roll,Small,Unknown bird - small,Day,0,0,0,122.0
1990-08-06,Texas,Take-off run,Small,Unknown bird - small,Day,0,0,0,100.0
1990-08-09,California,Climb,Medium,Unknown bird - medium,Day,0,0,0,165.0
1990-08-09,Texas,Approach,Small,Horned lark,Day,0,0,0,132.0
1990-08-09,California,Landing Roll,Small,Rock pigeon,Day,0,0,0,100.0
1990-08-10,California,Approach,Medium,Unknown bird - medium,Night,0,0,0,180.0
1990-08-12,Arizona,Climb,Medium,Unknown bird - medium,Day,0,0,0,200.0
1990-08-12,California,Approach,Medium,Unknown bird - medium,Night,0,0,0,140.0
1990-08-13,New Jersey,Take-off run,Medium,Unknown bird - medium,Night,0,0,0,140.0
1990-08-13,Utah,Climb,Small,Unknown bird - small,Day,0,0,0,150.0
1990-08-15,Tennessee,Approach,Medium,Unknown bird - medium,Day,0,0,0,210.0
1990-08-15,New York,Approach,Small,American robin,Day,0,0,0,160.0
1990-08-16,North Carolina,Approach,Small,Rock pigeon,Day,0,0,0,130.0
1990-08-16,Tennessee,Take-off run,Small,Unknown bird - small,Day,0,0,0,160.0
1990-08-17,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,145.0
1990-08-17,Illinois,Approach,Small,Unknown bird - small,Night,0,0,0,170.0
1990-08-18,Tennessee,Approach,Medium,Unknown bird - medium,Day,0,0,0,210.0
1990-08-18,Minnesota,Landing Roll,Medium,Unknown bird or bat,Day,0,0,0,123.0
1990-08-19,Oklahoma,Climb,Medium,Unknown bird - medium,Day,0,0,0,250.0
1990-08-19,Nebraska,Approach,Small,European starling,Day,0,0,0,135.0
1990-08-20,Texas,Approach,Small,Unknown bird - small,Night,0,0,0,150.0
1990-08-20,Texas,Descent,Small,Unknown bird - small,Night,0,0,0,250.0
1990-08-21,Illinois,Climb,Medium,Unknown bird - medium,Day,0,0,0,145.0
1990-08-21,Pennsylvania,Take-off run,Small,Unknown bird - small,Day,0,0,0,140.0
1990-08-22,Kentucky,Approach,Small,Unknown bird - small,Night,0,0,0,130.0
1990-08-23,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,150.0
1990-08-23,Indiana,Take-off run,Small,Mourning dove,Day,0,0,0,95.0
1990-08-24,Pennsylvania,Approach,Medium,Unknown bird - medium,Night,0,0,0,140.0
1990-08-24,Texas,Climb,Small,Unknown bird - small,Day,0,0,0,150.0
1990-08-24,Pennsylvania,Approach,Small,Unknown bird - small,Day,0,0,0,135.0
1990-08-24,Pennsylvania,Approach,Small,Unknown bird - small,Day,0,0,0,145.0
1990-08-25,Illinois,Approach,Medium,Unknown bird - medium,Day,0,0,0,125.0
1990-08-25,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,135.0
1990-08-25,California,Approach,Small,Unknown bird - small,Night,0,0,0,103.0
1990-08-27,California,Climb,Medium,Unknown bird - medium,Day,0,0,0,160.0
1990-08-27,California,Take-off run,Medium,Red-tailed hawk,Day,0,0,0,40.0
1990-08-27,Utah,Climb,Medium,Unknown bird - medium,Night,0,0,0,140.0
1990-08-28,Oklahoma,Descent,Large,Unknown bird - large,Night,0,0,0,250.0
1990-08-28,Texas,Climb,Medium,Unknown bird - medium,Night,0,0,0,250.0
1990-08-28,Texas,Climb,Small,Rock pigeon,Day,0,0,0,145.0
1990-08-28,Texas,Climb,Small,Unknown bird - small,Day,0,0,0,250.0
1990-08-29,Oregon,Approach,Small,Unknown bird - small,Day,0,0,0,130.0
1990-08-29,Louisiana,Climb,Small,Unknown bird - small,Day,0,0,0,180.0
1990-08-29,Texas,Approach,Small,Unknown bird - small,Night,0,0,0,140.0
1990-08-30,Tennessee,Approach,Medium,Unknown bird - medium,Day,0,0,0,140.0
1990-08-30,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,210.0
1990-08-30,Texas,Climb,Small,Unknown bird - small,Day,0,0,0,195.0
1990-08-31,Texas,Descent,Medium,Unknown bird - medium,Day,0,0,0,250.0
1990-08-31,Michigan,Approach,Medium,Unknown bird - medium,Dusk,0,0,0,140.0
1990-08-31,Illinois,Approach,Medium,Unknown bird - medium,Night,0,0,0,170.0
1990-08-31,New York,Approach,Medium,Unknown bird - medium,Night,0,0,0,150.0
1990-08-31,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,210.0
1990-09-01,Texas,Approach,Medium,Unknown bird - medium,Day,0,0,0,140.0
1990-09-01,North Carolina,Take-off run,Medium,Unknown bird - medium,Dusk,0,0,0,130.0
1990-09-01,Michigan,Take-off run,Small,Unknown bird - small,Day,0,0,0,150.0
1990-09-03,Texas,Approach,Medium,Unknown bird - medium,Night,0,0,0,250.0
1990-09-04,Georgia,Climb,Small,European starling,Day,0,0,0,150.0
1990-09-05,Pennsylvania,Approach,Small,Unknown bird - small,Day,0,0,0,180.0
1990-09-05,Pennsylvania,Take-off run,Small,European starling,Day,0,0,0,140.0
1990-09-05,Illinois,Approach,Small,Rock pigeon,Dusk,0,0,0,135.0
1990-09-06,DC,Climb,Small,Unknown bird - small,Day,0,0,0,240.0
1990-09-06,Illinois,Climb,Small,Unknown bird - small,Day,0,0,0,135.0
1990-09-06,Illinois,Climb,Small,Unknown bird - small,Day,0,0,0,250.0
1990-09-06,Tennessee,Approach,Small,Unknown bird - small,Dusk,0,0,0,140.0
1990-09-07,Missouri,Approach,Medium,Unknown bird - medium,Night,0,0,0,140.0
1990-09-07,Texas,Approach,Medium,Unknown bird - medium,Night,0,0,0,140.0
1990-09-07,New Jersey,Landing Roll,Small,American robin,Day,0,0,0,100.0
1990-09-07,Pennsylvania,Take-off run,Small,European starling,Day,0,0,0,120.0
1990-09-09,Texas,Approach,Small,Unknown bird - small,Dusk,0,0,0,140.0
1990-09-10,DC,Approach,Medium,Unknown bird - medium,Day,0,0,0,140.0
1990-09-10,Illinois,Approach,Medium,American crow,Day,0,0,0,150.0
1990-09-10,Hawaii,Approach,Medium,Unknown bird - medium,Night,0,0,0,125.0
1990-09-10,Louisiana,Approach,Small,Unknown bird - small,Day,0,0,0,155.0
1990-09-10,Oregon,Approach,Small,Rock pigeon,Day,0,0,0,115.0
1990-09-10,New Jersey,Landing Roll,Small,American kestrel,Day,0,0,0,140.0
1990-09-10,Indiana,Take-off run,Small,Mourning dove,Day,0,0,0,100.0
1990-09-10,DC,Approach,Small,Unknown bird - small,Night,0,0,0,160.0
1990-09-10,New York,Approach,Small,Unknown bird - small,Night,0,0,0,160.0
1990-09-11,North Carolina,Approach,Medium,Unknown bird - medium,Night,0,0,0,160.0
1990-09-12,Texas,Approach,Small,Unknown bird - small,Dawn,0,0,0,125.0
1990-09-12,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,150.0
1990-09-12,Georgia,Approach,Small,Unknown bird - small,Night,0,0,0,135.0
1990-09-13,Kentucky,Climb,Medium,Unknown bird - medium,Night,0,0,0,230.0
1990-09-13,Pennsylvania,Take-off run,Small,European starling,Day,0,0,0,140.0
1990-09-14,Kentucky,Approach,Small,Unknown bird - small,Day,0,0,0,130.0
1990-09-14,Pennsylvania,Approach,Small,Unknown bird - small,Day,0,0,0,140.0
1990-09-14,Louisiana,Climb,Small,Killdeer,Day,0,0,0,130.0
1990-09-15,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,150.0
1990-09-15,North Carolina,Climb,Small,Unknown bird - small,Day,0,0,0,160.0
1990-09-16,California,Climb,Medium,Unknown bird - medium,Day,0,0,0,320.0
1990-09-16,Ohio,Approach,Small,Unknown bird - small,Day,0,0,0,140.0
1990-09-17,New York,Climb,Medium,Unknown bird - medium,Day,0,0,0,210.0
1990-09-17,Georgia,Approach,Medium,Unknown bird - medium,Night,0,0,0,140.0
1990-09-17,Tennessee,Approach,Medium,Unknown bird - medium,Night,0,0,0,230.0
1990-09-17,Oregon,Climb,Small,Unknown bird - small,Day,0,0,0,125.0
1990-09-18,New Jersey,Landing Roll,Medium,Unknown bird or bat,Night,0,5218,5218,0.0
1990-09-18,Tennessee,Approach,Small,Unknown bird - small,Day,0,0,0,123.0
1990-09-18,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,170.0
1990-09-18,California,Approach,Small,Unknown bird - small,Night,0,0,0,250.0
1990-09-20,Louisiana,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,110.0
1990-09-20,California,Landing Roll,Small,Mourning dove,Day,0,0,0,90.0
1990-09-21,New York,Approach,Medium,Unknown bird - medium,Dusk,0,0,0,140.0
1990-09-21,Texas,Climb,Small,Rock pigeon,Day,0,0,0,110.0
1990-09-21,Utah,Take-off run,Small,Unknown bird - small,Day,0,0,0,100.0
1990-09-21,California,Taxi,Small,Unknown bird - small,Day,0,0,0,10.0
1990-09-22,Texas,Approach,Medium,Unknown bird - medium,Night,0,0,0,160.0
1990-09-22,Tennessee,Climb,Medium,Unknown bird - medium,Night,0,0,0,150.0
1990-09-22,Missouri,Take-off run,Small,Rock pigeon,Day,0,0,0,125.0
1990-09-22,Oregon,Take-off run,Small,Unknown bird - small,Day,0,0,0,140.0
1990-09-22,Texas,Approach,Small,Unknown bird - small,Night,0,0,0,135.0
1990-09-23,Hawaii,Descent,Medium,Unknown bird - medium,Day,0,0,0,60.0
1990-09-23,Louisiana,Approach,Small,Unknown bird - small,Night,0,0,0,180.0
1990-09-24,Tennessee,Approach,Medium,Unknown bird - medium,Dusk,0,0,0,140.0
1990-09-24,Missouri,Landing Roll,Small,Unknown bird - small,Day,0,0,0,140.0
1990-09-25,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,127.0
1990-09-25,Michigan,Approach,Small,Unknown bird - small,Day,0,0,0,115.0
1990-09-25,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,140.0
1990-09-25,Tennessee,Approach,Small,Unknown bird - small,Dusk,0,0,0,125.0
1990-09-26,New Jersey,Climb,Medium,Unknown bird - medium,Day,0,23656,23656,150.0
1990-09-26,Minnesota,Approach,Small,Unknown bird - small,Day,0,0,0,130.0
1990-09-26,Texas,Climb,Small,Unknown bird - small,Day,0,0,0,250.0
1990-09-27,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,150.0
1990-09-27,Tennessee,Climb,Medium,Unknown bird - medium,Night,0,0,0,250.0
1990-09-27,New Jersey,Descent,Medium,Unknown bird - medium,Night,0,0,0,250.0
1990-09-27,Illinois,Approach,Small,Unknown bird - small,Day,0,0,0,150.0
1990-09-27,New York,Approach,Small,Unknown bird - small,Day,0,0,0,141.0
1990-09-28,California,Approach,Medium,Unknown bird - medium,Night,0,0,0,140.0
1990-09-28,California,Approach,Small,Unknown bird - small,Night,0,0,0,180.0
1990-09-30,Texas,Approach,Large,Unknown bird - large,Day,0,0,0,180.0
1990-09-30,Washington,Approach,Large,Canada goose,Dusk,0,0,0,140.0
1990-09-30,Kentucky,Approach,Medium,Unknown bird - medium,Night,0,0,0,140.0
1990-09-30,Illinois,Descent,Medium,Unknown bird - medium,Night,0,0,0,250.0
1990-09-30,Maryland,Take-off run,Small,Rock pigeon,Day,0,0,0,100.0
1990-10-01,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,200.0
1990-10-01,Texas,Approach,Small,American robin,Day,0,0,0,140.0
1990-10-02,Florida,Approach,Small,Unknown bird - small,Night,0,0,0,140.0
1990-10-04,Tennessee,Approach,Small,Unknown bird - small,Day,0,0,0,140.0
1990-10-05,Louisiana,Approach,Medium,Unknown bird - medium,Night,0,0,0,160.0
1990-10-06,Hawaii,Approach,Small,Pacific golden-plover,Night,0,0,0,140.0
1990-10-07,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,160.0
1990-10-09,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,200.0
1990-10-10,Louisiana,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,130.0
1990-10-10,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,190.0
1990-10-10,New York,Approach,Medium,Unknown bird - medium,Night,0,0,0,180.0
1990-10-10,North Carolina,Landing Roll,Small,Unknown bird - small,Day,0,0,0,130.0
1990-10-10,Tennessee,Landing Roll,Small,Unknown bird - small,Day,0,0,0,140.0
1990-10-11,Texas,Descent,Large,Unknown bird - large,Night,0,0,0,250.0
1990-10-11,Texas,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,200.0
1990-10-12,Massachusetts,Take-off run,Medium,Herring gull,Day,0,0,0,110.0
