income,health,population,region
624,58.7,10787104,sub_saharan_africa
12509,63.72,54490406,sub_saharan_africa
34644,80.7,50293439,east_asia_pacific
3047,58.0,12339812,sub_saharan_africa
32979,81.7,46121699,europe_central_asia
10624,76.5,20715010,south_asia
9997,74.5,184999,america
10435,72.9,109462,america
3975,69.5,40234882,sub_saharan_africa
17125,70.5,542975,america
6095,51.5,1286970,sub_saharan_africa
44892,82.0,9779426,europe_central_asia
56118,82.9,8298663,europe_central_asia
4637,70.26,18502413,middle_east_north_africa
2582,71.0,8481855,europe_central_asia
2571,63.43,53470420,sub_saharan_africa
14512,75.1,67959359,east_asia_pacific
2086,72.4,1184765,east_asia_pacific
1433,64.23,7304578,sub_saharan_africa
5069,70.5,106170,east_asia_pacific
30113,71.4,1360088,america
11126,77.3,11253554,middle_east_north_africa
19360,76.5,78665830,europe_central_asia
15865,67.9,5373502,europe_central_asia
1680,60.8,39032383,sub_saharan_africa
8449,72.1,44823765,europe_central_asia
60749,76.6,9156963,middle_east_north_africa
38225,81.4,64715810,europe_central_asia
53354,79.1,321773631,america
20438,77.3,3431555,america
5598,70.1,29893488,europe_central_asia
2912,65.0,264652,east_asia_pacific
15753,75.8,31108083,america
5623,76.5,93447601,east_asia_pacific
4319,75.2,4668466,middle_east_north_africa
3887,67.6,26832215,middle_east_north_africa
4034,58.96,16211767,sub_saharan_africa
1801,60.01,15602751,sub_saharan_africa
