us_gross,worldwide_gross,production_budget,release_date,distributor,source,major_genre,rotten_tomatoes_rating,imdb_rating,imdb_votes
11744960.0,11744960.0,20000000.0,May 06 1994,Walt Disney Pictures,Original Screenplay,Action,17.0,3.2,3107.0
75828.0,172569.0,1500000.0,Sep 28 2005,Vitagraph Films,Original Screenplay,Drama,55.0,6.0,873.0
2300000.0,2300000.0,439000.0,Mar 09 2033,Warner Bros.,Based on Book/Short Story,Musical,95.0,7.7,4263.0
4301000.0,4301000.0,4000000.0,Dec 25 1995,Miramax,Original Screenplay,Comedy,14.0,6.4,34328.0
42488161.0,42488161.0,6500000.0,May 22 1981,Universal,Original Screenplay,Comedy,71.0,7.0,1814.0
52700832.0,242895809.0,4500000.0,Mar 09 1994,Gramercy,Original Screenplay,Romantic Comedy,96.0,7.1,39003.0
84689.0,84689.0,350000.0,Oct 18 2006,Truly Indie,Original Screenplay,Drama,97.0,7.4,439.0
10000000.0,10000000.0,17000000.0,Dec 31 1962,Warner Bros.,Original Screenplay,Drama,57.0,6.8,2104.0
6734844.0,6734844.0,18000000.0,Feb 21 1986,MGM,Based on Book/Short Story,Drama,55.0,5.4,12731.0
999811.0,132999811.0,113500000.0,Jul 04 2008,Alliance,Based on Comic/Graphic Novel,Adventure,55.0,4.9,5620.0
54243125.0,54243125.0,70000000.0,Aug 09 1989,20th Century Fox,Original Screenplay,Action,88.0,7.6,51018.0
20257000.0,20257000.0,7000000.0,Feb 12 1988,Lorimar Motion Pictures,Original Screenplay,Action,10.0,4.6,3856.0
72217396.0,107217396.0,12000000.0,Feb 04 1994,Warner Bros.,Original Screenplay,Comedy,49.0,6.6,63543.0
108360063.0,212400000.0,30000000.0,Nov 10 1995,Warner Bros.,Original Screenplay,Comedy,55.0,5.6,51275.0
12947763.0,12947763.0,5000000.0,Mar 27 1986,Paramount Pictures,Original Screenplay,Horror,31.0,6.4,15106.0
64359.0,64359.0,4000000.0,Mar 26 1999,Fox Searchlight,Original Screenplay,Romantic Comedy,55.0,5.7,546.0
8000000.0,8000000.0,3768785.0,May 17 1950,MGM,Based on Book/Short Story,Musical,100.0,7.1,1326.0
0.0,0.0,3000000.0,Jul 28 1951,RKO Radio Pictures,Based on Book/Short Story,Musical,20.0,6.7,63458.0
669276.0,669276.0,24000000.0,Aug 25 1995,Miramax,Original Screenplay,Adventure,55.0,7.3,893.0
7900000.0,7900000.0,12000000.0,Oct 24 1960,United Artists,Original Screenplay,Western,54.0,5.9,10063.0
4000000.0,4000000.0,2000000.0,Dec 31 1937,20th Century Fox,Original Screenplay,Drama,55.0,6.4,15106.0
36299670.0,36299670.0,32000000.0,Jan 15 1993,Walt Disney Pictures,Based on Book/Short Story,Adventure,71.0,3.2,124.0
274299.0,274299.0,14000000.0,Jan 24 2003,Kino International,Based on Play,Drama,55.0,7.4,5416.0
115000000.0,140000000.0,777000.0,Aug 11 1973,Universal,Original Screenplay,Comedy,97.0,7.6,30952.0
4000000.0,4000000.0,350000.0,Dec 31 1986,Warner Bros.,Original Screenplay,Action,55.0,3.7,2495.0
60022813.0,107822813.0,62000000.0,Nov 17 1995,Sony Pictures,Original Screenplay,Romantic Comedy,90.0,6.8,22780.0
38251425.0,38251425.0,4000000.0,Apr 20 1977,MGM,Original Screenplay,Comedy,98.0,8.2,65406.0
9598.0,9598.0,2500000.0,Sep 08 2000,Sony Pictures,Original Screenplay,Horror,55.0,6.1,6266.0
24103594.0,24103594.0,6500000.0,Apr 02 1993,Walt Disney Pictures,Based on Book/Short Story,Adventure,62.0,5.8,3095.0
18600000.0,24600000.0,3000000.0,Dec 31 1959,United Artists,Original Screenplay,Romantic Comedy,91.0,8.4,36485.0
78800000.0,78800000.0,31500000.0,Aug 15 1979,MGM,Based on Book/Short Story,Action,98.0,8.6,173141.0
53208180.0,53208180.0,31000000.0,Jul 18 1990,Walt Disney Pictures,Original Screenplay,Thriller/Suspense,85.0,6.2,20528.0
0.0,14900000.0,16500000.0,Dec 25 2007,Warner Bros.,Based on Book/Short Story,Action,55.0,6.4,6251.0
23616.0,23616.0,600000.0,Oct 19 2007,The Movie Partners,Original Screenplay,Thriller/Suspense,55.0,5.1,77.0
15200000.0,15200000.0,150000.0,Jan 01 1971,Warner Bros.,Original Screenplay,Drama,55.0,5.6,1769.0
8158.0,8158.0,989000.0,Jun 01 2007,Fox Meadow,Original Screenplay,Comedy,17.0,4.4,200.0
42000000.0,42000000.0,6000000.0,Oct 17 1956,United Artists,Based on Book/Short Story,Adventure,73.0,5.6,21516.0
0.0,0.0,9000000.0,Oct 10 1968,Paramount Pictures,Based on Comic/Graphic Novel,Adventure,74.0,5.7,10794.0
20000000.0,20000000.0,11000000.0,Dec 31 1974,Warner Bros.,Based on Book/Short Story,Drama,94.0,8.1,39909.0
800000.0,800000.0,4000000.0,Mar 01 1987,Warner Bros.,Original Screenplay,Drama,55.0,5.4,236.0
63658910.0,246100000.0,30000000.0,Aug 04 1995,Universal,Based on Book/Short Story,Adventure,98.0,7.3,35644.0
3127472.0,3127472.0,2900000.0,Mar 24 2006,Wingate Distribution,Original Screenplay,Romantic Comedy,55.0,6.4,15106.0
16581575.0,16581575.0,50000000.0,Jul 01 1994,20th Century Fox,Original Screenplay,Comedy,21.0,5.0,8332.0
4496583.0,4496583.0,35000000.0,Apr 16 1993,Walt Disney Pictures,Original Screenplay,Drama,55.0,7.7,10142.0
12671300.0,12671300.0,8000000.0,Aug 04 2006,Alliance,Original Screenplay,Comedy,67.0,6.9,151.0
210609762.0,381109762.0,19000000.0,Jul 03 1985,Universal,Original Screenplay,Adventure,96.0,8.4,201598.0
118450002.0,332000000.0,40000000.0,Nov 22 1989,Universal,Original Screenplay,Adventure,64.0,7.5,87341.0
87666629.0,243700000.0,40000000.0,May 24 1990,Universal,Original Screenplay,Adventure,71.0,7.1,77541.0
102308900.0,102308900.0,6000000.0,Oct 24 1969,20th Century Fox,Original Screenplay,Western,90.0,8.2,57602.0
65647413.0,141247413.0,23000000.0,Apr 07 1995,Sony Pictures,Original Screenplay,Action,39.0,6.6,53929.0
8801940.0,8801940.0,10000000.0,Oct 26 1984,Sony/Columbia,Original Screenplay,Thriller/Suspense,84.0,6.4,9738.0
5000000.0,5000000.0,210000.0,Jun 13 1953,Warner Bros.,Based on Book/Short Story,Drama,90.0,6.4,15106.0
773490.0,773490.0,6000000.0,Aug 30 1991,New Line,Based on Book/Short Story,Drama,17.0,3.3,1327.0
10751126.0,10751126.0,5000000.0,Aug 20 1982,MGM,Based on Book/Short Story,Action,50.0,5.7,5734.0
9000000.0,9000000.0,3900000.0,Dec 30 2025,MGM,Based on Book/Short Story,Adventure,55.0,8.2,58510.0
73000000.0,73000000.0,15000000.0,Nov 18 1959,MGM,Based on Book/Short Story,Adventure,91.0,8.2,58510.0
31559560.0,31559560.0,500000.0,Nov 15 1974,Warner Bros.,Original Screenplay,Adventure,83.0,5.8,1801.0
5274005.0,5274005.0,2500000.0,Jan 27 1995,Sony Pictures,Original Screenplay,Drama,100.0,8.0,39705.0
171340294.0,403476931.0,20000000.0,Nov 13 1991,Walt Disney Pictures,Based on Book/Short Story,Musical,93.0,3.4,354.0
23600000.0,23600000.0,2100000.0,Nov 21 2046,RKO Radio Pictures,Based on Book/Short Story,Drama,97.0,8.2,17338.0
909000.0,909000.0,1305000.0,Aug 19 1983,Embassy,Based on Book/Short Story,Western,55.0,6.4,15106.0
4655.0,4655.0,3000000.0,Sep 30 2005,Big Fat Movies,Original Screenplay,Comedy,23.0,3.2,1119.0
8800000.0,8800000.0,1800000.0,Dec 31 1972,20th Century Fox,Original Screenplay,Drama,38.0,5.0,6094.0
0.0,0.0,50000.0,Dec 31 2009,Warner Bros.,Original Screenplay,Drama,55.0,6.4,15106.0
4357406.0,4357406.0,32000000.0,Sep 06 1996,Warner Bros.,Original Screenplay,Comedy,40.0,4.8,2742.0
234760478.0,316300000.0,15000000.0,Dec 05 1984,Paramount Pictures,Original Screenplay,Action,83.0,7.3,45065.0
153665036.0,276665036.0,20000000.0,May 20 1987,Paramount Pictures,Original Screenplay,Action,46.0,6.1,29712.0
42586861.0,119180938.0,50000000.0,May 25 1994,Paramount Pictures,Original Screenplay,Action,10.0,5.0,21199.0
35841901.0,35841901.0,20000000.0,Dec 21 1979,Walt Disney Pictures,Original Screenplay,Drama,42.0,5.6,7810.0
0.0,3436763.0,15000000.0,Jul 10 2008,Warner Bros.,Original Screenplay,Drama,55.0,6.1,1446.0
114968774.0,151668774.0,18000000.0,Jun 03 1988,20th Century Fox,Original Screenplay,Comedy,96.0,7.2,49256.0
11000000.0,22000000.0,245000.0,Jan 01 2025,MGM,Based on Play,Drama,100.0,8.4,2600.0
56190094.0,56190094.0,6500000.0,Jul 12 1991,Sony Pictures,Original Screenplay,Drama,98.0,7.8,30299.0
1660865.0,1660865.0,2000000.0,Sep 12 2003,Distributor Unknown,Based on Book/Short Story,Drama,55.0,6.4,15106.0
2000000.0,2000000.0,11000000.0,Dec 31 1990,Warner Bros.,Original Screenplay,Drama,55.0,4.3,4632.0
16118077.0,16118077.0,25000000.0,Apr 01 1988,United Artists,Based on Book/Short Story,Drama,61.0,6.8,11929.0
887000.0,887000.0,1200000.0,Dec 31 1975,20th Century Fox,Based on Play,Drama,55.0,4.9,359.0
1610194.0,1610194.0,10400000.0,Feb 20 2004,Alliance,Original Screenplay,Drama,44.0,6.2,817.0
32656328.0,33139618.0,28000000.0,Jun 25 1982,Warner Bros.,Based on Book/Short Story,Thriller/Suspense,92.0,8.3,185546.0
11806119.0,11806119.0,1500000.0,Feb 26 1988,Cannon,Original Screenplay,Action,55.0,6.2,19816.0
57229890.0,57229890.0,27000000.0,Jun 20 1980,Universal,Original Screenplay,Musical,84.0,7.9,62941.0
13747234.0,13747234.0,18000000.0,Jul 24 1981,Filmways Pictures,Original Screenplay,Thriller/Suspense,89.0,7.1,10239.0
1023424.0,8589831.0,5500000.0,Jul 01 2005,WellSpring,Original Screenplay,Drama,55.0,7.3,7295.0
2800000.0,4358000.0,379000.0,Dec 31 1928,MGM,Original Screenplay,Musical,38.0,6.7,2017.0
9172000.0,9172000.0,2000000.0,Dec 31 1939,MGM,Original Screenplay,Drama,55.0,7.1,1115.0
3802260.0,6300000.0,4500000.0,Oct 04 1996,Gramercy,Original Screenplay,Thriller/Suspense,88.0,7.4,23564.0
527.0,527.0,10000.0,Apr 01 1996,JeTi Films,Original Screenplay,Thriller/Suspense,55.0,6.3,369.0
22019465.5,31168926.5,2000000.0,Apr 28 1971,MGM,Original Screenplay,Comedy,89.0,7.1,12415.0
37537675.0,37537675.0,20000000.0,Jul 19 1991,Orion Pictures,Original Screenplay,Comedy,58.0,5.8,20188.0
10000000.0,11000000.0,110000.0,Feb 08 2015,Warner Bros.,Based on Book/Short Story,Drama,100.0,7.1,8901.0
3500000.0,5000000.0,3716946.0,May 13 1970,Warner Bros.,Original Screenplay,Western,92.0,7.3,3125.0
882290.0,882290.0,7700000.0,Feb 23 1990,New Line,Original Screenplay,Action,55.0,6.2,2523.0
0.0,0.0,120000.0,Jun 30 2006,Lifesize Entertainment,Based on Real Life Events,Documentary,71.0,7.6,90.0
70052444.0,131052444.0,42000000.0,Jul 01 1992,Paramount Pictures,Original Screenplay,Comedy,37.0,5.9,202.0
33300000.0,33300000.0,3000000.0,Dec 18 1957,Sony/Columbia,Based on Book/Short Story,Drama,95.0,8.4,58641.0
70001698.0,70001698.0,14000000.0,Dec 20 1989,Universal,Based on Book/Short Story,Drama,89.0,7.2,32108.0
2962051.0,2962051.0,3000000.0,Aug 09 1996,Miramax,Based on Real Life Events,Drama,69.0,6.7,7935.0
45892212.0,45892212.0,30000000.0,Sep 22 1989,Paramount Pictures,Original Screenplay,Thriller/Suspense,57.0,4.1,137.0
407488.0,407488.0,5000000.0,Feb 21 1996,Sony Pictures,Based on Short Film,Adventure,79.0,7.2,21980.0
242623.0,242623.0,3000000.0,Feb 12 1993,Trimark,Original Screenplay,Horror,55.0,7.6,32827.0
71516617.0,175516617.0,22000000.0,Jun 02 1995,Warner Bros.,Based on Book/Short Story,Drama,90.0,7.2,21923.0
10426506.0,10426506.0,25000.0,Aug 09 1995,Fox Searchlight,Original Screenplay,Drama,91.0,6.4,4365.0
82522790.0,215862692.0,40000000.0,Nov 13 1992,Sony Pictures,Based on Book/Short Story,Horror,55.0,6.4,136.0
70645997.0,148345997.0,65000000.0,Feb 09 1996,20th Century Fox,Original Screenplay,Action,55.0,5.8,33584.0
8921050.0,8921050.0,15000000.0,Sep 30 1983,MGM,Based on Book/Short Story,Thriller/Suspense,64.0,6.3,4410.0
75545647.0,209000000.0,72000000.0,May 24 1995,Paramount Pictures,Based on Real Life Events,Drama,77.0,8.4,240642.0
0.0,83833602.0,42000000.0,Feb 01 2006,Warner Bros.,Original Screenplay,Comedy,55.0,4.4,1254.0
9929135.0,9929135.0,15000000.0,Dec 18 1985,Universal,Original Screenplay,Black Comedy,98.0,8.0,76635.0
119500000.0,119500000.0,2600000.0,Jan 01 1974,Warner Bros.,Original Screenplay,Comedy,89.0,7.8,45771.0
609042.0,609042.0,1300000.0,May 05 2000,MGM,Original Screenplay,Drama,55.0,6.3,343.0
3500000.0,3500000.0,2361000.0,Dec 31 1943,MGM,Original Screenplay,Musical,55.0,6.2,487.0
39916091.0,39916091.0,10000000.0,Feb 17 1989,Orion Pictures,Original Screenplay,Comedy,81.0,6.7,30341.0
50800000.0,50800000.0,26000000.0,Jun 15 1977,MGM,Based on Book/Short Story,Action,67.0,7.3,16882.0
73326666.0,73326666.0,15000000.0,Mar 30 1988,Warner Bros.,Original Screenplay,Comedy,55.0,7.3,61197.0
162831698.0,266822354.0,80000000.0,Jun 18 1992,Warner Bros.,Original Screenplay,Action,78.0,6.9,78673.0
184031112.0,336529144.0,100000000.0,Jun 16 1995,Warner Bros.,Original Screenplay,Action,43.0,5.4,76218.0
0.0,0.0,1377800.0,Aug 21 2001,Warner Bros.,Original Screenplay,Drama,55.0,6.4,15106.0
251188924.0,411348924.0,35000000.0,Jun 23 1989,Warner Bros.,Based on Comic/Graphic Novel,Action,71.0,7.6,111464.0
14231669.0,14231669.0,7000000.0,Jul 31 1992,20th Century Fox,Original Screenplay,Horror,32.0,5.3,16056.0
1470856.0,243470856.0,16000000.0,Jul 25 2008,Link Productions Ltd.,Original Screenplay,Comedy,55.0,7.0,7129.0
9000000.0,9000000.0,1000000.0,Jan 01 1970,20th Century Fox,Original Screenplay,Comedy,68.0,5.7,4626.0
15030.0,85343.0,600000.0,Jul 02 1999,Warner Bros.,Original Screenplay,Drama,55.0,6.4,399.0
19000000.0,19000000.0,12000000.0,Dec 31 1977,20th Century Fox,Based on Book/Short Story,Thriller/Suspense,65.0,7.0,8741.0
174682.0,174682.0,200000.0,May 10 2002,Outrider Pictures,Original Screenplay,Drama,55.0,7.0,355.0
39846344.0,39846344.0,6000000.0,Jul 25 1980,Warner Bros.,Original Screenplay,Comedy,75.0,7.3,35436.0
79091969.0,182291969.0,35000000.0,Nov 15 1991,Universal,Remake,Thriller/Suspense,76.0,7.3,47196.0
122012656.0,207500000.0,62000000.0,Aug 03 1994,Paramount Pictures,Based on Book/Short Story,Action,78.0,6.8,29612.0
25878153.0,25878153.0,1800000.0,Nov 16 1976,MGM,Based on Book/Short Story,Horror,90.0,7.4,38767.0
22744718.0,41744718.0,12000000.0,Apr 28 1967,Sony Pictures,Based on Book/Short Story,Comedy,30.0,8.0,172936.0
3479302.0,3479302.0,4600000.0,Jul 16 2004,Alliance,Original Screenplay,Comedy,55.0,6.0,378.0
25928721.0,25928721.0,48000000.0,Dec 14 1984,Orion Pictures,Original Screenplay,Drama,74.0,6.3,6940.0
0.0,0.0,600000.0,Aug 23 2002,Warner Bros.,Original Screenplay,Drama,60.0,7.1,153.0
166000000.0,337700000.0,20000000.0,Nov 16 1977,Sony Pictures,Original Screenplay,Adventure,95.0,7.8,59049.0
60240295.0,102825796.0,47000000.0,Jun 14 1996,Sony Pictures,Original Screenplay,Comedy,52.0,5.8,51109.0
49000.0,1549000.0,1000000.0,Sep 16 2005,Eros Entertainment,Original Screenplay,Thriller/Suspense,55.0,4.6,527.0
33244684.0,44196684.0,9000000.0,Nov 09 1988,United Artists,Original Screenplay,Horror,70.0,6.3,16165.0
26904572.0,34166572.0,13000000.0,Nov 09 1990,Universal,Original Screenplay,Horror,38.0,5.1,8666.0
21226204.0,60209334.0,55000000.0,Aug 02 1996,20th Century Fox,Original Screenplay,Action,13.0,5.2,15817.0
814666.0,814666.0,950000.0,Sep 27 2002,Excel Entertainment,Based on Book/Short Story,Drama,55.0,5.8,60.0
57159946.0,57159946.0,5500000.0,Sep 25 1981,Sony Pictures,Based on Real Life Events,Drama,86.0,7.3,16138.0
19294144.0,19294144.0,3250000.0,Nov 18 1983,MGM,Based on Book/Short Story,Comedy,88.0,8.0,51757.0
17570324.0,17570324.0,3000000.0,Sep 20 1958,MGM,Based on Play,Drama,100.0,8.0,14540.0
4700000.0,4700000.0,1250000.0,Aug 31 1984,New World,Original Screenplay,Horror,55.0,5.0,2806.0
0.0,0.0,1200000.0,Oct 20 2036,Warner Bros.,Based on Real Life Events,Action,55.0,6.4,15106.0
13024170.0,13024170.0,14000000.0,May 13 1994,Universal,Original Screenplay,Comedy,75.0,6.5,3137.0
1647780.0,1647780.0,1300000.0,Oct 09 1998,October Films,Original Screenplay,Comedy,55.0,8.1,26607.0
48000000.0,62000000.0,36000000.0,Jun 12 1963,20th Century Fox,Based on Real Life Events,Drama,40.0,6.8,7870.0
84049211.0,255000000.0,65000000.0,May 28 1993,Sony Pictures,Original Screenplay,Action,82.0,6.2,34447.0
4134.0,4134.0,500000.0,Oct 21 2005,Fabrication Films,Original Screenplay,Drama,55.0,5.1,226.0
92115211.0,117615211.0,45000000.0,Jul 20 1994,Warner Bros.,Based on Book/Short Story,Drama,80.0,6.5,19299.0
32092.0,32092.0,160000.0,Mar 01 2002,Testimony Pictures,Original Screenplay,Drama,55.0,3.4,1113.0
56598476.0,56598476.0,13700000.0,Jul 01 1995,Paramount Pictures,Based on Book/Short Story,Comedy,83.0,6.7,39055.0
93589701.0,93589701.0,15000000.0,Dec 18 1985,Warner Bros.,Based on Book/Short Story,Drama,88.0,7.7,26962.0
3073428.0,3073428.0,27000.0,Oct 19 1994,Miramax,Original Screenplay,Comedy,88.0,7.9,89991.0
5969553.0,17006158.0,2900000.0,Nov 20 1998,Sony Pictures Classics,Original Screenplay,Drama,55.0,8.0,17343.0
30000000.0,30000000.0,15000000.0,Jun 12 1981,MGM,Traditional/Legend/Fairytale,Adventure,65.0,5.9,45773.0
444354.0,444354.0,2000000.0,May 15 1998,Artistic License,Original Screenplay,Drama,55.0,5.9,3171.0
35073978.0,35073978.0,10000000.0,Oct 04 1985,20th Century Fox,Original Screenplay,Action,71.0,4.5,49.0
52293000.0,52293000.0,10000000.0,Oct 17 1986,Walt Disney Pictures,Original Screenplay,Drama,91.0,6.9,25824.0
85000000.0,85000000.0,2900000.0,Feb 15 1950,Walt Disney Pictures,Traditional/Legend/Fairytale,Drama,92.0,5.1,373.0
81022333.0,152022333.0,50000000.0,Jun 09 1995,Paramount Pictures,Based on Book/Short Story,Adventure,21.0,4.6,17954.0
38264085.0,38264085.0,20000000.0,May 14 1982,Universal,Based on Book/Short Story,Action,76.0,6.8,38886.0
26400000.0,26400000.0,18000000.0,Jun 29 1984,Universal,Based on Book/Short Story,Action,29.0,5.4,20368.0
6965361.0,6965361.0,3250000.0,Aug 20 1982,United Film Distribution Co.,Original Screenplay,Drama,55.0,6.3,2945.0
1953732.0,1953732.0,15000000.0,Jan 17 1986,Warner Bros.,Based on Book/Short Story,Adventure,13.0,4.9,2763.0
7033.0,7033.0,200000.0,Jul 21 2006,First Run/Icarus,Based on Real Life Events,Documentary,55.0,6.4,15106.0
925402.0,925402.0,180000.0,Jan 22 1999,Miramax,Original Screenplay,Comedy,55.0,8.0,6657.0
32653000.0,32653000.0,3000000.0,Dec 31 1977,Warner Bros.,Original Screenplay,Drama,81.0,7.3,4410.0
0.0,20000000.0,12000000.0,Nov 17 2009,National Geographic Entertainment,Original Screenplay,Drama,55.0,7.6,1725.0
68856263.0,155056263.0,14000000.0,Oct 01 1993,Walt Disney Pictures,Based on Real Life Events,Comedy,73.0,6.5,24533.0
9700000.0,9700000.0,1700000.0,Dec 31 1971,Warner Bros.,Original Screenplay,Drama,44.0,5.8,6188.0
94596.0,94596.0,10000.0,Jul 06 2001,Warner Bros.,Original Screenplay,Drama,55.0,7.4,2724.0
174803506.0,328000000.0,5000000.0,Sep 26 1986,Paramount Pictures,Original Screenplay,Comedy,88.0,6.5,27277.0
673780.0,673780.0,10000.0,Mar 09 2001,WinStar Cinema,Original Screenplay,Drama,55.0,7.3,1851.0
713413.0,713413.0,4500000.0,Mar 27 1998,Sony Pictures Classics,Based on Book/Short Story,Drama,55.0,7.8,5531.0
20036244.0,20036244.0,8000000.0,Nov 10 1982,Warner Bros.,Based on Book/Short Story,Horror,67.0,6.5,12530.0
14000000.0,14000000.0,3500000.0,May 01 1987,New World,Based on Book/Short Story,Horror,26.0,5.4,5910.0
62546695.0,62546695.0,4000000.0,Nov 25 1992,Miramax,Original Screenplay,Drama,100.0,7.3,21195.0
91387195.0,159387195.0,55000000.0,May 12 1995,Walt Disney Pictures,Original Screenplay,Action,86.0,7.2,33354.0
1000000.0,1000000.0,14000000.0,Dec 31 1977,Universal,Based on Book/Short Story,Adventure,55.0,5.8,173.0
0.0,0.0,820000.0,Dec 31 2009,Warner Bros.,Original Screenplay,Drama,55.0,6.4,15106.0
0.0,3000000.0,500000.0,Jun 30 2006,Warner Bros.,Original Screenplay,Black Comedy,55.0,7.6,1209.0
10462500.0,10462500.0,950000.0,Dec 31 1941,Warner Bros.,Based on Play,Drama,97.0,8.8,167939.0
42438300.0,110400000.0,52000000.0,Nov 22 1995,Universal,Based on Book/Short Story,Drama,81.0,8.1,108634.0
100328194.0,282300000.0,55000000.0,May 26 1995,Universal,Based on TV,Comedy,41.0,5.7,26121.0
2000000.0,2000000.0,20000000.0,Dec 31 1979,Warner Bros.,Original Screenplay,Musical,55.0,3.5,2146.0
24911670.0,24911670.0,18000000.0,Jun 24 1970,Paramount Pictures,Based on Book/Short Story,Comedy,87.0,7.1,9671.0
20278055.0,20278055.0,40000000.0,Feb 16 1996,Sony Pictures,Original Screenplay,Drama,55.0,6.1,9908.0
10017322.0,10017322.0,92000000.0,Dec 22 1995,MGM,Original Screenplay,Adventure,45.0,5.3,10346.0
244465.0,244465.0,10000000.0,Aug 14 1998,MGM,Based on Book/Short Story,Drama,55.0,6.8,822.0
4000000.0,8000000.0,134000.0,Nov 16 2042,RKO Radio Pictures,Original Screenplay,Drama,91.0,5.9,6791.0
59003384.0,100833145.0,46000000.0,Jul 12 1996,20th Century Fox,Original Screenplay,Drama,85.0,6.6,19682.0
5321508.0,5321508.0,5000000.0,May 28 1969,Paramount Pictures,Original Screenplay,Western,55.0,8.8,74184.0
4420000.0,4420000.0,1600000.0,Apr 07 1974,Paramount Pictures,Original Screenplay,Thriller/Suspense,98.0,8.1,33005.0
70071.0,71644.0,7000.0,May 26 2006,Truly Indie,Original Screenplay,Thriller/Suspense,55.0,6.0,487.0
32051917.0,32051917.0,20000000.0,Oct 27 1995,Warner Bros.,Original Screenplay,Thriller/Suspense,75.0,6.5,17182.0
4372561.0,4372561.0,7000000.0,Sep 28 1990,Triumph Releasing,Original Screenplay,Action,55.0,5.3,3396.0
11487676.0,84970337.0,12000000.0,Feb 10 1982,Sony/Columbia,Based on Book/Short Story,Drama,55.0,4.3,2184.0
25532388.0,25532388.0,7000000.0,Aug 25 1995,Sony Pictures,Original Screenplay,Action,61.0,7.0,51515.0
127175374.0,246400000.0,16000000.0,Dec 16 1994,New Line,Original Screenplay,Comedy,55.0,7.2,88093.0
43800000.0,116000000.0,7200000.0,Dec 17 1971,MGM,Based on Book/Short Story,Action,67.0,6.7,25354.0
