worker,step,episodes,return,charts,loss,policy_loss,value_loss,entropy
1,320000,7064,1.5754,4,-1.1401,-0.4665,-0.476,6.0635
2,325000,7193,1.5578,5,-1.0478,-1.0718,-0.0272,5.6669
2,330000,7299,1.6203,5,2.372,1.327,0.4773,5.3045
0,335000,7414,1.721,4,0.1066,0.2857,0.432,5.7165
3,340000,7518,1.7301,4,0.8231,0.5703,0.6888,5.2312
3,345000,7627,1.6155,4,1.6769,1.0083,0.5773,5.2946
3,350000,7746,1.3218,3,2.9459,2.1842,0.938,4.8648
2,355000,7842,1.4459,4,-0.9807,-0.3464,-0.3594,5.1871
0,360000,7961,1.6643,5,2.1089,1.8849,0.6258,4.9039
1,365000,8063,1.6385,5,-1.5823,-1.0925,-0.1957,5.0239
1,370000,8161,1.6377,3,2.3813,1.6639,0.5796,4.8182
1,375000,8281,1.5703,3,-2.9405,-1.7099,-0.7308,4.7758
3,380000,8371,1.615,4,0.2962,0.0089,0.3918,4.5688
2,385000,8472,1.7817,5,1.2206,1.1025,1.1778,4.643
1,390000,8570,1.6266,5,-1.4202,-1.0872,-0.7446,4.9531
2,395000,8669,1.7727,4,-2.3649,-2.2931,-0.466,4.6533
1,400000,8766,1.5853,3,2.3971,1.6653,0.9142,5.0329
2,405000,8859,1.6665,4,-3.4409,-2.5182,-0.9975,4.5654
3,410000,8978,1.8388,4,2.3786,1.7789,0.6393,5.0116
1,415000,9086,1.7456,5,-0.7905,-1.4454,-0.3119,4.7789
2,420000,9194,1.6477,4,-0.0703,0.0603,-0.1433,4.9959
1,425000,9304,1.6362,5,-0.3304,-0.0082,-0.4763,4.1248
2,430000,9410,1.8119,4,0.8891,1.0299,0.7884,4.2287
2,435000,9514,1.5216,3,0.8407,0.8699,0.349,4.6678
3,440000,9622,1.5353,3,1.5607,1.0334,0.9535,4.9428
0,445000,9732,1.7637,4,-1.3981,-0.7922,-0.3809,4.498
3,450000,9830,1.6828,3,-0.1598,-0.1938,-0.1594,4.5383
3,455000,9938,1.5937,3,0.4081,0.3081,0.0612,4.3692
0,460000,10050,1.9534,5,-2.2456,-1.234,-1.3994,4.5261
2,465000,10146,1.6751,5,3.5704,2.5064,0.7611,4.4157
3,470000,10259,1.7069,3,1.5073,1.1228,-0.0033,3.4777
3,475000,10359,1.6893,4,0.85,0.8142,0.0896,3.7698
1,480000,10495,1.7557,5,-0.6097,-0.67,-0.0892,3.8227
3,485000,10607,1.6079,4,-0.1866,-0.1888,0.3695,4.0436
1,490000,10723,1.7596,5,4.7703,3.2347,1.4129,3.5846
1,495000,10829,1.5819,5,2.8795,2.5073,1.0037,3.6021
0,500000,10950,1.6277,4,3.8439,3.0169,1.1496,4.2603
